Date,Open,High,Low,Close,Adj Close,Volume,Class
1/2/2009,633.73999,665.849976,631.969971,664.190002,664.190002,0,Train
1/5/2009,658.140015,672.940002,654.599976,665.950012,665.950012,0,Train
1/6/2009,671.210022,694.5,670.080017,687.130005,687.130005,0,Train
1/7/2009,670.919983,673.98999,657.27002,662.73999,662.73999,0,Train
1/8/2009,657.210022,665.369995,648.539978,665.099976,665.099976,0,Train
1/9/2009,665.080017,665.400024,642.130005,649.27002,649.27002,0,Train
1/12/2009,646.76001,647.289978,622.97998,630.130005,630.130005,0,Train
1/13/2009,629.179993,642.380005,620.140015,630.059998,630.059998,0,Train
1/14/2009,620.049988,623.72998,605,608.5,608.5,0,Train
1/15/2009,608.76001,623.73999,595.450012,617.02002,617.02002,0,Train
1/16/2009,627.640015,632.030029,607.859985,627.710022,627.710022,0,Train
1/20/2009,626.23999,626.23999,588.380005,588.380005,588.380005,0,Train
1/21/2009,599.419983,614.77002,589.440002,614.400024,614.400024,0,Train
1/22/2009,597.059998,609.190002,585.630005,597.76001,597.76001,0,Train
1/23/2009,587.099976,621.419983,585.76001,612.690002,612.690002,0,Train
1/26/2009,612.309998,629.190002,610.049988,618.159973,618.159973,0,Train
1/27/2009,620.22998,637.340027,620.22998,632.72998,632.72998,0,Train
1/28/2009,645.030029,663.880005,643.659973,658.119995,658.119995,0,Train
1/29/2009,646.799988,647,631.940002,634.390015,634.390015,0,Train
1/30/2009,636.409973,640.820007,615.080017,617.809998,617.809998,0,Train
2/2/2009,609.23999,629.47998,608.98999,625.159973,625.159973,0,Train
2/3/2009,626.059998,636.349976,614.099976,634.77002,634.77002,0,Train
2/4/2009,635.400024,655.140015,633.919983,638.73999,638.73999,0,Train
2/5/2009,629.559998,664.390015,629.169983,659.72998,659.72998,0,Train
2/6/2009,658.780029,683.039978,657.780029,680.880005,680.880005,0,Train
2/9/2009,680.48999,686.340027,674.130005,682.280029,682.280029,0,Train
