Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,633.739990,665.849976,631.969971,664.190002,664.190002,0
2009-01-05,658.140015,672.940002,654.599976,665.950012,665.950012,0
2009-01-06,671.210022,694.500000,670.080017,687.130005,687.130005,0
2009-01-07,670.919983,673.989990,657.270020,662.739990,662.739990,0
2009-01-08,657.210022,665.369995,648.539978,665.099976,665.099976,0
2009-01-09,665.080017,665.400024,642.130005,649.270020,649.270020,0
2009-01-12,646.760010,647.289978,622.979980,630.130005,630.130005,0
2009-01-13,629.179993,642.380005,620.140015,630.059998,630.059998,0
2009-01-14,620.049988,623.729980,605.000000,608.500000,608.500000,0
2009-01-15,608.760010,623.739990,595.450012,617.020020,617.020020,0
2009-01-16,627.640015,632.030029,607.859985,627.710022,627.710022,0
2009-01-20,626.239990,626.239990,588.380005,588.380005,588.380005,0
2009-01-21,599.419983,614.770020,589.440002,614.400024,614.400024,0
2009-01-22,597.059998,609.190002,585.630005,597.760010,597.760010,0
2009-01-23,587.099976,621.419983,585.760010,612.690002,612.690002,0
2009-01-26,612.309998,629.190002,610.049988,618.159973,618.159973,0
2009-01-27,620.229980,637.340027,620.229980,632.729980,632.729980,0
2009-01-28,645.030029,663.880005,643.659973,658.119995,658.119995,0
2009-01-29,646.799988,647.000000,631.940002,634.390015,634.390015,0
2009-01-30,636.409973,640.820007,615.080017,617.809998,617.809998,0
2009-02-02,609.239990,629.479980,608.989990,625.159973,625.159973,0
2009-02-03,626.059998,636.349976,614.099976,634.770020,634.770020,0
2009-02-04,635.400024,655.140015,633.919983,638.739990,638.739990,0
2009-02-05,629.559998,664.390015,629.169983,659.729980,659.729980,0
2009-02-06,658.780029,683.039978,657.780029,680.880005,680.880005,0
2009-02-09,680.489990,686.340027,674.130005,682.280029,682.280029,0
2009-02-10,676.489990,686.570007,645.880005,648.650024,648.650024,0
2009-02-11,650.099976,654.609985,634.090027,645.440002,645.440002,0
2009-02-12,636.599976,656.809998,630.520020,655.830017,655.830017,0
2009-02-13,654.450012,661.020020,649.440002,654.500000,654.500000,0
2009-02-17,631.039978,633.679993,621.049988,622.179993,622.179993,0
2009-02-18,625.729980,635.580017,615.070007,623.940002,623.940002,0
2009-02-19,628.669983,630.929993,604.349976,604.869995,604.869995,0
2009-02-20,598.070007,614.530029,596.530029,608.460022,608.460022,0
2009-02-23,612.159973,612.159973,581.369995,582.679993,582.679993,0
2009-02-24,590.000000,612.659973,587.799988,609.669983,609.669983,0
2009-02-25,604.830017,626.840027,596.770020,614.460022,614.460022,0
2009-02-26,618.679993,629.020020,602.609985,603.570007,603.570007,0
2009-02-27,597.500000,615.239990,595.900024,603.549988,603.549988,0
2009-03-02,593.200012,604.000000,575.109985,576.349976,576.349976,0
2009-03-03,586.909973,594.349976,576.020020,583.609985,583.609985,0
2009-03-04,593.619995,612.099976,593.619995,603.890015,603.890015,0
2009-03-05,595.500000,605.340027,584.700012,585.119995,585.119995,0
2009-03-06,594.460022,599.780029,571.229980,582.390015,582.390015,0
2009-03-09,578.960022,596.919983,566.669983,568.169983,568.169983,0
2009-03-10,578.320007,610.520020,578.320007,610.520020,610.520020,0
2009-03-11,614.880005,627.929993,607.130005,623.260010,623.260010,0
2009-03-12,621.890015,644.380005,617.130005,643.380005,643.380005,0
2009-03-13,641.650024,649.250000,635.979980,646.729980,646.729980,0
2009-03-16,651.229980,651.359985,629.539978,630.679993,630.679993,0
2009-03-17,633.340027,656.969971,629.140015,656.969971,656.969971,0
2009-03-18,665.380005,695.590027,664.309998,687.229980,687.229980,0
2009-03-19,694.349976,695.250000,682.940002,686.400024,686.400024,0
2009-03-20,687.020020,693.409973,659.950012,666.750000,666.750000,0
2009-03-23,682.900024,709.380005,678.929993,709.380005,709.380005,0
2009-03-24,700.250000,706.299988,692.489990,695.030029,695.030029,0
2009-03-25,701.580017,713.869995,681.130005,698.080017,698.080017,0
2009-03-26,710.250000,728.760010,706.359985,728.760010,728.760010,0
2009-03-27,713.900024,716.880005,703.260010,704.919983,704.919983,0
2009-03-30,692.070007,692.109985,673.080017,682.299988,682.299988,0
2009-03-31,689.820007,705.869995,688.619995,692.710022,692.710022,0
2009-04-01,682.599976,708.820007,679.549988,707.700012,707.700012,0
2009-04-02,722.440002,747.590027,721.109985,734.539978,734.539978,0
2009-04-03,738.960022,751.460022,730.979980,751.460022,751.460022,0
2009-04-06,736.030029,741.950012,725.710022,740.789978,740.789978,0
2009-04-07,729.109985,730.059998,713.010010,717.400024,717.400024,0
2009-04-08,726.400024,743.489990,721.479980,739.200012,739.200012,0
2009-04-09,753.140015,768.340027,751.570007,766.650024,766.650024,0
2009-04-13,759.440002,764.679993,747.909973,759.609985,759.609985,0
2009-04-14,754.460022,765.510010,746.679993,755.640015,755.640015,0
2009-04-15,746.059998,748.539978,734.380005,747.809998,747.809998,0
2009-04-16,760.359985,776.390015,750.619995,773.390015,773.390015,0
2009-04-17,769.320007,779.890015,762.669983,776.369995,776.369995,0
2009-04-20,765.309998,765.599976,747.609985,749.599976,749.599976,0
2009-04-21,746.530029,763.020020,746.090027,759.929993,759.929993,0
2009-04-22,751.479980,789.130005,747.000000,771.460022,771.460022,0
2009-04-23,768.159973,769.849976,751.109985,767.280029,767.280029,0
2009-04-24,774.340027,791.989990,766.289978,789.679993,789.679993,0
2009-04-27,776.880005,793.440002,774.299988,780.090027,780.090027,0
2009-04-28,774.739990,780.169983,767.940002,772.140015,772.140015,0
2009-04-29,777.989990,797.200012,776.260010,786.969971,786.969971,0
2009-04-30,798.340027,817.250000,795.940002,805.859985,805.859985,0
2009-05-01,807.919983,818.030029,800.820007,812.789978,812.789978,0
2009-05-04,821.429993,837.390015,819.440002,837.210022,837.210022,0
2009-05-05,834.599976,835.520020,820.960022,829.890015,829.890015,0
2009-05-06,836.750000,838.059998,813.400024,831.119995,831.119995,0
2009-05-07,833.510010,833.760010,786.799988,794.330017,794.330017,0
2009-05-08,802.530029,803.080017,779.390015,790.929993,790.929993,0
